,edu,age,female,conspiracy,scandal,media_score,google,poltrust_score
383,2,40,1,1,0,56.25,75,42.6666666666667
384,0,53,1,0,1,37.5,20,47.6666666666667
385,2,28,0,1,0,50.0,50,29.8333333333333
386,1,57,1,1,1,36.25,50,33.3333333333333
387,3,34,1,1,0,27.5,20,24.1666666666667
388,2,55,1,0,1,60.625,50,66.6666666666667
389,2,28,0,0,0,52.5,85,55.0
390,2,42,1,0,0,31.875,65,39.1666666666667
391,1,54,1,1,0,58.75,75,68.3333333333333
392,3,48,1,0,1,46.25,50,48.3333333333333
393,2,22,1,1,0,38.75,50,17.3333333333333
394,2,61,1,1,1,25.0,0,50.5
395,2,33,0,1,1,29.875,30,27.8333333333333
396,2,31,1,0,1,77.5,90,46.6666666666667
397,2,38,1,0,0,81.25,90,43.6666666666667
398,0,23,0,1,1,52.5,75,35.8333333333333
399,2,47,0,1,0,16.875,0,12.8333333333333
400,3,64,0,0,0,57.5,50,69.1666666666667
401,1,45,0,0,1,33.75,25,53.6666666666667
402,2,39,1,1,1,1.875,0,38.3333333333333
403,1,51,0,1,1,64.375,75,66.1666666666667
404,2,40,1,0,1,81.875,90,42.6666666666667
405,1,44,1,1,0,41.25,40,26.1666666666667
406,2,58,1,0,0,28.125,40,26.1666666666667
407,2,46,0,1,0,58.75,50,85.0
408,2,46,0,0,0,48.125,90,30.8333333333333
409,2,41,0,0,1,56.75,55,42.5
410,1,23,0,0,1,21.25,60,31.6666666666667
411,2,28,0,0,1,27.5,50,33.3333333333333
412,1,42,0,0,1,50.0,50,41.6666666666667
413,1,18,0,0,1,38.75,30,39.6666666666667
414,1,31,1,1,0,25.0,25,56.6666666666667
415,2,33,0,0,0,16.125,30,19.6666666666667
416,1,20,0,1,1,39.375,60,28.3333333333333
417,2,58,1,1,1,51.875,75,55.0
418,2,49,1,0,1,51.875,80,16.8333333333333
419,2,37,1,1,0,47.5,70,37.6666666666667
420,2,36,0,1,1,40.5,50,48.6666666666667
421,3,26,0,1,0,49.375,60,53.3333333333333
422,2,31,0,1,0,3.875,1,3.16666666666667
423,2,37,0,1,1,42.5,10,45.0
424,1,24,1,1,1,38.125,50,35.0
425,1,29,0,1,1,28.75,60,35.8333333333333
426,2,69,0,0,0,69.375,85,47.0
427,1,53,1,1,1,30.0,30,10.3333333333333
428,2,28,1,1,0,73.375,55,51.6666666666667
429,2,37,0,1,0,59.375,50,58.3333333333333
430,1,28,0,0,0,38.75,40,33.8333333333333
431,3,57,1,0,1,50.5,30,32.3333333333333
432,2,30,0,0,1,23.125,3,47.8333333333333
433,0,35,0,0,1,40.0,70,37.5
434,1,37,0,1,0,15.0,0,30.0
435,1,41,1,0,1,66.875,90,42.3333333333333
436,2,32,1,0,0,46.875,60,45.0
437,2,39,0,1,0,28.75,25,49.1666666666667
438,1,34,0,1,1,37.5,40,30.3333333333333
439,2,43,0,1,0,35.0,60,46.6666666666667
440,0,57,1,1,1,62.5,100,83.3333333333333
441,1,34,0,0,1,21.25,10,36.3333333333333
442,2,65,0,1,1,40.0,50,38.1666666666667
443,3,60,0,0,1,65.0,60,68.3333333333333
444,2,52,1,1,1,20.0,0,48.3333333333333
445,1,61,1,0,1,22.5,60,20.3333333333333
446,2,40,1,0,1,76.25,80,55.0
447,1,54,1,0,0,58.75,75,63.3333333333333
448,1,38,0,1,0,53.125,90,44.0
449,2,53,1,1,0,53.75,40,53.3333333333333
450,0,39,0,1,0,15.625,25,25.0
451,1,57,1,1,1,57.5,50,46.1666666666667
452,1,48,1,0,0,25.0,0,33.0
453,3,30,1,1,0,51.25,60,53.3333333333333
454,3,33,0,0,0,21.0,20,38.8333333333333
455,3,51,0,1,1,48.75,70,50.8333333333333
456,2,33,1,0,1,57.5,80,73.3333333333333
457,1,35,0,0,1,51.25,70,36.6666666666667
458,2,45,1,1,1,56.875,65,40.0
459,2,60,1,1,1,58.125,50,62.5
460,2,54,1,0,0,48.75,70,73.3333333333333
461,3,54,1,1,0,17.5,40,26.3333333333333
462,1,34,0,0,1,71.875,100,85.0
463,2,36,1,1,1,61.25,70,71.6666666666667
464,3,44,0,0,1,66.25,80,70.8333333333333
465,2,60,1,0,0,56.25,50,61.6666666666667
466,2,51,0,1,1,67.5,100,76.6666666666667
467,1,60,1,1,0,56.875,40,59.1666666666667
468,3,27,1,0,1,51.875,60,64.1666666666667
469,3,27,1,0,0,48.75,80,63.3333333333333
470,2,62,1,0,1,71.25,95,66.6666666666667
471,3,60,0,1,0,48.75,50,72.5
472,2,31,1,1,0,33.75,30,43.3333333333333
473,2,35,1,1,0,37.5,40,33.3333333333333
474,3,31,1,0,1,39.375,15,69.1666666666667
475,1,20,0,0,1,60.0,100,26.6666666666667
476,2,53,1,1,1,7.5,20,43.3333333333333
477,2,36,0,0,0,57.5,80,38.8333333333333
478,2,42,1,1,0,52.5,75,54.1666666666667
479,2,35,1,1,1,64.375,80,79.1666666666667
480,2,30,1,0,1,22.5,20,30.0
481,2,30,0,0,0,58.75,75,47.5
482,2,49,0,0,1,25.0,30,50.0
483,0,52,1,1,0,45.0,50,55.0
484,3,65,0,1,0,42.5,45,37.8333333333333
485,2,25,1,0,0,33.75,0,75.0
486,1,68,1,0,0,46.25,60,50.0
487,2,38,1,0,1,36.25,75,47.0
488,3,43,0,1,1,10.0,10,33.3333333333333
489,2,38,1,0,0,35.625,30,25.0
490,3,37,1,1,0,20.625,20,43.3333333333333
491,2,30,0,0,0,37.5,90,50.0
492,3,28,1,0,0,73.75,90,90.0
493,2,34,0,0,1,46.625,60,57.5
494,2,64,0,1,0,50.375,55,54.3333333333333
495,1,46,1,0,1,45.625,50,46.6666666666667
496,2,45,1,0,1,62.5,70,86.6666666666667
497,2,28,0,0,0,70.0,80,57.5
498,2,42,0,0,1,51.25,75,15.5
499,2,67,1,0,0,42.5,0,55.1666666666667
500,0,39,1,0,1,18.75,0,33.6666666666667
501,1,38,0,1,1,63.75,70,68.3333333333333
502,0,53,0,1,1,42.5,65,23.5
503,3,36,0,1,0,51.875,50,42.5
504,1,28,0,1,1,46.875,70,35.3333333333333
505,3,54,1,1,0,67.5,80,65.8333333333333
506,1,48,1,0,0,40.625,75,68.3333333333333
507,1,23,1,0,0,57.5,80,66.6666666666667
508,2,71,0,1,0,52.5,35,42.0
509,0,41,0,1,1,37.5,20,50.0
510,1,25,1,0,1,16.875,5,20.0
511,1,49,1,1,0,36.25,90,45.0
512,0,54,1,0,0,41.875,80,79.1666666666667
513,3,31,0,0,0,65.625,50,84.1666666666667
514,1,41,1,0,1,3.125,0,38.3333333333333
515,0,47,1,0,0,13.125,5,47.5
516,2,27,1,0,1,45.0,50,41.6666666666667
517,2,26,1,0,0,46.25,80,30.0
518,2,31,1,0,1,75.0,100,33.3333333333333
519,2,29,0,1,1,57.5,80,30.1666666666667
520,3,54,1,1,0,61.875,65,75.0
521,2,44,0,0,0,64.375,50,55.0
522,3,26,0,1,0,40.0,60,41.6666666666667
523,2,49,0,0,1,60.0,60,60.0
524,3,58,1,0,0,60.0,100,52.3333333333333
525,1,22,0,0,1,53.0,69,71.8333333333333
526,2,55,1,1,1,4.125,0,13.1666666666667
527,2,33,0,1,1,31.25,30,35.0
528,2,38,1,1,1,53.75,40,38.3333333333333
529,2,24,0,1,1,31.25,35,64.1666666666667
530,2,43,1,0,1,70.0,80,73.3333333333333
531,0,30,1,1,0,45.0,50,28.5
532,1,37,1,0,1,68.625,87,59.0
533,2,49,0,0,0,53.125,40,62.5
534,2,38,1,1,1,50.0,50,56.6666666666667
535,2,66,1,0,0,54.375,60,38.3333333333333
536,2,29,1,0,1,42.5,80,55.0
537,2,49,1,0,1,62.5,100,18.6666666666667
538,3,60,1,0,1,46.25,45,69.1666666666667
539,2,35,0,0,0,46.25,25,65.0
540,2,28,1,0,0,46.25,75,31.3333333333333
541,2,37,1,1,1,54.625,78,33.8333333333333
542,2,47,1,0,0,42.5,60,64.1666666666667
543,2,38,1,1,1,45.375,50,46.1666666666667
544,3,56,0,1,1,42.5,40,48.3333333333333
545,2,24,0,1,0,59.375,60,71.6666666666667
546,2,56,1,0,1,71.0,85,70.8333333333333
547,2,24,1,1,0,18.125,40,8.83333333333333
548,3,37,1,1,1,50.0,50,50.0
549,2,26,1,1,1,25.625,40,36.6666666666667
550,3,28,0,1,0,30.625,40,52.5
551,1,28,0,0,0,44.375,15,69.1666666666667
552,0,36,0,0,0,12.5,50,20.8333333333333
553,2,22,0,1,1,54.375,60,60.0
554,3,38,1,0,1,38.75,50,65.0
555,3,51,1,0,1,43.75,60,48.3333333333333
556,1,32,0,0,1,37.5,30,41.6666666666667
557,3,58,1,0,1,51.875,75,73.1666666666667
558,2,39,1,0,0,73.75,100,46.6666666666667
