,phase,character,idusers,idnetwork,hint_cloth,hint_col,hat_guess,shirt_guess,pant_guess,shoe_guess,glove_guess,hat,shirt,pant,shoe,glove,score_hat,score_shirt,score_pant,score_shoe,score_glove,score,num_corrects,num_mistakes,grey,winner,grp_act_num,grp_num_corrects,grp_num_mistakes,pos
406,1.0,Federico,2089,3,guanti,verde,10.0,6.0,10.0,10.0,4.0,4,6,5,6,4,0.0,10.0,0.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,18.0,4.0,c
409,1.0,Guy,1261,3,scarpe,blu,2.0,10.0,9.0,5.0,6.0,2,6,9,5,6,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,2.0,c
410,1.0,Carmine,1264,3,guanti,celeste,10.0,10.0,4.0,10.0,6.0,1,1,4,8,6,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,3.0,c
413,1.0,Alessandro,1795,3,cappello,celeste,6.0,6.0,3.0,8.0,8.0,6,6,3,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,1.0,c
416,1.0,Maurice,1692,3,guanti,bianco,6.0,5.0,10.0,10.0,8.0,6,5,7,9,8,10.0,10.0,0.0,0.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,17.0,5.0,c
419,1.0,Nicodemo,1765,3,pantaloni,violetto,1.0,3.0,7.0,7.0,8.0,1,3,7,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,2.0,c
420,1.0,Harvey,1501,3,guanti,rosso,10.0,10.0,10.0,10.0,1.0,9,4,1,1,1,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,4.0,0.0,5.0,9.0,2.0,c
422,1.0,Giordano,922,3,scarpe,nero,5.0,3.0,7.0,9.0,1.0,5,3,7,9,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
423,1.0,Manolo,1756,3,guanti,verde,8.0,5.0,9.0,3.0,4.0,8,5,3,7,4,10.0,10.0,-5.0,-5.0,10.0,20.0,3.0,2.0,0.0,0.0,5.0,16.0,5.0,c
425,1.0,Wade,179,3,felpa,verde,10.0,4.0,10.0,10.0,2.0,6,4,4,4,2,0.0,10.0,0.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,14.0,0.0,c
430,1.0,Harvey,1415,3,scarpe,rosso,10.0,10.0,10.0,1.0,10.0,9,4,1,1,1,0.0,0.0,0.0,10.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,9.0,2.0,d
432,1.0,Federico,2115,3,pantaloni,blu,4.0,6.0,5.0,3.0,4.0,4,6,5,6,4,10.0,10.0,10.0,-5.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,18.0,4.0,d
433,1.0,Nicodemo,1784,3,guanti,bianco,1.0,3.0,7.0,7.0,8.0,1,3,7,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,2.0,d
439,1.0,Wade,959,3,cappello,celeste,6.0,10.0,4.0,4.0,10.0,6,4,4,4,2,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,14.0,0.0,d
440,1.0,Guy,1246,3,cappello,arancione,2.0,10.0,9.0,5.0,6.0,2,6,9,5,6,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,2.0,d
